"You have %1 new system message","You have %1 new system message",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","A total of %1 record(s) have been marked as Read.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","Total of %1 record(s) have been removed.",module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.",module,Magento_AdminNotification
"One or more of the Cache Types are invalidated: %1. ","One or more of the Cache Types are invalidated: %1.",module,Magento_AdminNotification
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Your web server is set up incorrectly and allows unauthorised access to sensitive files. Please contact your hosting provider.",module,Magento_AdminNotification
"Update Items and Quantities","Update Items and Quantities",module,Magento_AdvancedCheckout
"In order to personalize your Advanced Reporting experience, please select your industry.","In order to personalise your Advanced Reporting experience, please select your industry.",module,Magento_Analytics
"Shipping","Delivery",module,Magento_Backend
"Reload Data","Reload Data",module,Magento_Backend
"Region/State","County/Province",module,Magento_Backend
"ZIP/Postal Code","Post Code/Zip",module,Magento_Backend
"City","Town/City",module,Magento_Backend
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Allow to Edit Delivery Address Entered During Checkout on PayPal Side",module,Magento_Braintree
"City","Town/City",module,Magento_Braintree
"State/Province","County/Province",module,Magento_Braintree
"Zip/Postal Code","Post Code/Zip",module,Magento_Braintree
"Shipped","Despatched",module,Magento_Bundle
"Qty Despatched","Qty Despatched",module,Magento_Bundle
"Manage Titles (Size, Color, etc.)","Manage Titles (Size, Colour, etc.)",module,Magento_Catalog
"Allow Multiple Boxes for Shipping","Allow Multiple Boxes for Delivery",module,Magento_Catalog
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Delivery.",module,Magento_Catalog
"Allow Multiple Boxes for Shipping","Allow Multiple Boxes for Delivery",module,Magento_CatalogInventory
"City","Town/City",module,Magento_Checkout
"State/Province","County/Province",module,Magento_Checkout
"Zip/Postal Code","Post Code/Zip",module,Magento_Checkout
"Shipping address is not set","Delivery address is not set",module,Magento_Checkout
"Unable to save shipping information. Please check input data.","Unable to save delivery information. Please check input data.",module,Magento_Checkout
"Shipping method is not applicable for empty cart","Delivery method is not applicable for empty cart",module,Magento_Checkout
"Invalid shipping method","Invalid delivery method",module,Magento_Checkout
"There are more than one shipping addresses.","There are more than one delivery addresses.",module,Magento_Checkout
"Estimate Shipping and Tax","Estimate Delivery and Tax",module,Magento_Checkout
"Shipping Address:","Delivery Address:",module,Magento_Checkout
"Shipping Method:","Delivery Method:",module,Magento_Checkout
"My billing and shipping address are the same","My billing and delivery address are the same",module,Magento_Checkout
"Provided Zip/Postal Code seems to be invalid.","Provided Post/Zip Code seems to be invalid.",module,Magento_Checkout
"Shipping","Delivery",module,Magento_Checkout
"Please specify a shipping method.","Please specify a delivery method.",module,Magento_Checkout
"Shipping Address","Delivery Address",module,Magento_Checkout
"Shipping Methods","Delivery Methods",module,Magento_Checkout
"The shipping address is missing. Set the address and try again.","The delivery address is missing. Set the address and try again.",module,Magento_Checkout
"The shipping information was unable to be saved. Verify the input data and try again.","The delivery information was unable to be saved. Verify the input data and try again.",module,Magento_Checkout
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The delivery method can't be set for an empty cart. Add an item to cart and try again.",module,Magento_Checkout
"The shipping method is missing. Select the shipping method and try again.","The delivery method is missing. Select the delivery method and try again.",module,Magento_Checkout
"Please specify a regionId in shipping address.","Please specify a regionId in delivery address.",module,Magento_Checkout
"City:","Town/City:",module,Magento_Company
"State/Province:","County/Province:",module,Magento_Company
"ZIP/Postal Code:","Post Code/Zip:",module,Magento_Company
"City","Town/City",module,Magento_Company
"State/Province","County/Province",module,Magento_Company
"Please select a region, state or province.","Please select a county, state or province.",module,Magento_Company
"ZIP/Postal Code","Post Code/Zip",module,Magento_Company
"* Create and manage company shipping and billing addresses","* Create and manage company delivery and billing addresses",module,Magento_Company
"Configurable products allow customers to choose options (Ex: shirt color). You need to create a simple product for each configuration (Ex: a product for each color).","Configurable products allow customers to choose options (Ex: shirt colour). You need to create a simple product for each configuration (Ex: a product for each colour).",module,Magento_ConfigurableProduct
"Based on your selections %1 new products will be created. Use this step to customize images and price for your new products.","Based on your selections %1 new products will be created. Use this step to customise images and price for your new products.",module,Magento_ConfigurableProduct
"You have not set a default shipping address.","You have not set a default delivery address.",module,Magento_Customer
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your delivery address for proper VAT calculation.",module,Magento_Customer
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your delivery address for proper VAT calculation.",module,Magento_Customer
"Shipping Address","Delivery Address",module,Magento_Customer
"enter your shipping address for proper VAT calculation","enter your delivery address for proper VAT calculation",module,Magento_Customer
"Change Shipping Address","Change Delivery Address",module,Magento_Customer
"You have no default shipping address in your address book.","You have no default delivery address in your address book.",module,Magento_Customer
"City","Town/City",module,Magento_Customer
"State/Province","County/Province",module,Magento_Customer
"Zip/Postal Code","Post Code/Zip",module,Magento_Customer
"It's a default shipping address.","It's a default delivery address.",module,Magento_Customer
"Use as my default shipping address","Use as my default delivery address",module,Magento_Customer
"Store alternative addresses (for shipping to multiple family members and friends)","Store alternative addresses (for delivery to multiple family members and friends)",module,Magento_Customer
"See order and shipping status","See order and delivery status",module,Magento_Customer
"Provided Zip/Postal Code seems to be invalid.","Provided Post Code/Zip seems to be invalid.",module,Magento_Customer
"There is no address id in setting default shipping address.","There is no address id in setting default delivery address.",module,Magento_Customer
"Default shipping address has been changed.","Default delivery address has been changed.",module,Magento_Customer
"We can't change default shipping address right now.","We can't change default delivery address right now.",module,Magento_Customer
"Set as default shipping","Set as default delivery",module,Magento_Customer
"Set address as default shipping","Set address as default delivery",module,Magento_Customer
"Are you sure you want to set the address as default shipping address?","Are you sure you want to set the address as default delivery address?",module,Magento_Customer
"The customer does not have default shipping address","The customer does not have default delivery address",module,Magento_Customer
"City","Town/City",module,Magento_CustomerCustomAttributes
"State/Province","County/Province",module,Magento_CustomerCustomAttributes
"Zip/Postal Code","Post Code/Zip",module,Magento_CustomerCustomAttributes
"This is your default shipping address.","This is your default delivery address.",module,Magento_CustomerCustomAttributes
"Use as my default shipping address","Use as my default delivery address",module,Magento_CustomerCustomAttributes
"Customer Address %1 is set as default shipping address and can not be deleted","Customer Address %1 is set as default delivery address and can not be deleted",module,Magento_CustomerGraphQl
"Shipping","Delivery",module,Magento_CustomerSegment
"Has State/Province","Has County/Province",module,Magento_CustomerSegment
"If Customer Address %1 State/Province specified","If Customer Address %1 County/Province specified",module,Magento_CustomerSegment
"State/Province","County/Province",module,Magento_CustomerSegment
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","Geolocation inconsistencies. The customer’s email domain, phone number, billing address, delivery address, or IP address is suspicious",module,Magento_Cybersource
"Unverifiable address. The billing or shipping address cannot be verified","Unverifiable address. The billing or delivery address cannot be verified",module,Magento_Cybersource
"Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect","Marked as suspect. The billing or delivery address is similar to an address previously marked as suspect",module,Magento_Cybersource
